"","LAD11CD","x","y"
"1","E09000001",532482.70397672,181269.31001757
"2","E09000002",548040.84962685,185088.71573279
"3","E09000003",524028.12345502,192316.93118888
"4","E09000004",548795.36332131,175487.354482
"5","E09000005",520177.50968801,185828.79758313
"6","E09000006",542896.83887845,165656.01990108
"7","E09000007",527863.93949934,184662.80443073
"8","E09000008",533290.52566385,163541.0740223
"9","E09000009",515887.6931254,181715.08152631
"10","E09000010",532424.99388186,196421.91107058
"11","E09000011",542909.66100521,176876.65247469
"12","E09000012",534369.64160091,185485.68124238
"13","E09000013",523569.92332758,178949.42660346
"14","E09000014",531198.03771145,189642.71420091
"15","E09000015",514987.25575945,190066.91339066
"16","E09000016",554048.41723423,187392.75596676
"17","E09000017",507889.68535252,183651.88745063
"18","E09000018",513517.70840069,175643.01190897
"19","E09000019",531128.03760882,184977.77042218
"20","E09000020",525536.05451869,179624.12999949
"21","E09000021",519296.1108216,166818.64071786
"22","E09000022",530843.91274999,174353.85383801
"23","E09000023",537670.22961451,173981.12608913
"24","E09000024",525473.52012895,169422.42684303
"25","E09000025",541357.94523588,183014.30953448
"26","E09000026",543914.28412992,189465.89369858
"27","E09000027",517345.91573881,172815.12873567
"28","E09000028",533820.0174746,176663.32120138
"29","E09000029",526976.62055223,164133.49028413
"30","E09000030",536398.58163196,181635.29756018
"31","E09000031",537757.16486498,190224.14548991
"32","E09000032",526114.36991117,174046.63376481
"33","E09000033",527688.02996776,181042.89482823
